ISO,AT,AU,BR,CN,DE,DK,ES,ET,FI,FR,GB,GH,GR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,LB,MA,MX,MY,NG,NO,PH,PL,PT,SE,TH,US,VN,ZA
AT,0,0.727353600301723,0.938147755150649,0.999881172757015,0.676475337893268,0.749248932619797,0.942923814874507,1,0.982769324700251,0.935749705000999,0.7080754565068,0.944012052821007,0.945418125584498,0.99399199803331,1,0.70120822318541,0.951654954624452,0.957870348762241,0.952463675269431,0.940550902814641,1,0.999925825973872,1,0.997142558882805,0.999884866378178,0.945611371816896,0.994139056490834,1,0.758455047767518,0.999652412356427,0.908227842629023,0.942656273192453,0.763416725451738,1,0.739752553272201,1,0.927985033560973
AU,0.727353600301723,0,0.932400950269141,0.976019843070405,0.728957308576403,0.760924548044774,0.933683127294626,0.999408440782094,0.985636434100874,0.937786772072529,0.202391191842809,0.904478293886858,0.937199420517016,0.99836056883601,0.997923523905888,0.183616284288945,0.960913433662098,0.950355919789486,0.95045084290359,0.932199485434957,0.997967999357714,0.999872918704706,0.99621346371437,0.995702318968069,0.998818974909952,0.937387967009949,0.977686878717132,0.999881984300084,0.769980288814781,0.996087628984406,0.938983904430309,0.93496498348980706,0.77356084288378,0.997627384267352,0.298885441578456,0.989039880278437,0.876977980798455
BR,0.938147755150649,0.932400950269141,0,1,0.923291455473519,0.94037698429756,0.33478969048642,1,0.996248667351244,0.544626538593375,0.934564663223902,0.988788161137842,0.941080728989654,0.998880894567891,1,0.938536809891005,0.959246023128705,0.95725860344359,0.954833613380991,0.610866063602003,0.998158189374081,0.999924748926901,1,0.995781633371562,0.999003182246797,0.336520737519975,0.998420696925857,1,0.938024680531014,0.995676996841626,0.9448271118314,0.0509401247498543,0.935156577297443,0.999997490669397,0.85113496469277,1,0.984280080127618
CN,0.999881172757015,0.976019843070405,1,0,0.999905524036327,0.999965518402599,1,1,0.99999580217153194,0.999964327668054,0.999990947929299,1,1,1,0.993361929460755,1,0.99998260091341,0.99933834411849,0.999104829020101,1,0.999985447657663,1,0.994551079341803,1,1,1,0.82944367431706,1,0.999974959468225,0.989977067981606,1,1,0.99839736966581,0.975196581769006,0.992728610048652,0.971549751671257,1
DE,0.676475337893268,0.728957308576403,0.923291455473519,0.999905524036327,0,0.749495695328934,0.937461887657436,0.997145800704335,0.984677702470526,0.935577688062845,0.712450003106213,0.944718688566954,0.94290247533064,0.99408377488009,1,0.706614310060874,0.947861994685827,0.956775766570992,0.95154179548023,0.934356920330654,1,0.999729040350633,1,0.989653248877722,0.995291606744768,0.94128169698073,0.994216491781161,0.999430588997043,0.758755627903947,0.999624872988617,0.926926229831068,0.937050567222946,0.762122358582063,0.999976475878934,0.741639874126637,0.999118783102257,0.891472962716038
DK,0.749248932619797,0.760924548044774,0.94037698429756,0.999965518402599,0.749495695328934,0,0.945052203381778,0.998672838711669,0.960038390235801,0.944650307361187,0.74413051510882,0.950840215138964,0.94538966669654,0.998466451487829,1,0.738356220358992,0.970030527546442,0.954138208782876,0.950727217181646,0.944221572440521,1,0.999714951580022,1,0.995989197771735,0.998957271003108,0.947385740072372,0.994666354770679,0.99979299582275,0.25970506950675,0.999662134525929,0.939259873522661,0.944391037778682,0.274434783936979,0.998930928197347,0.771239520494764,0.998125939650782,0.936473117160119
ES,0.942923814874507,0.933683127294626,0.33478969048642,1,0.937461887657436,0.945052203381778,0,0.994276616310796,0.996436846221695,0.555523953250144,0.93673629658247,0.989558899772753,0.942236701784449,0.998940748300304,1,0.940531230621311,0.948391992694785,0.958234578632492,0.955644755931577,0.616557080425427,1,0.999535715593447,1,0.984532530725414,0.987887361228584,0.137765510441996,0.998469094981546,0.998858188476282,0.942259439914397,0.995218965893682,0.941035274736934,0.322088340941661,0.937254359340597,1,0.825724394366037,1,0.986163373791197
ET,1,0.999408440782094,1,1,0.997145800704335,0.998672838711669,0.994276616310796,0,0.998921196067007,0.981417174382953,0.999336684216668,1,1,1,1,1,0.731060560608228,1,0.993212152592506,1,1,0.963086282821628,1,0.649314543670546,0.660175833393504,1,1,0.934029782413859,0.997586394839061,1,1,1,0.994831785709027,1,1,1,1
FI,0.982769324700251,0.985636434100874,0.996248667351244,0.99999580217153194,0.984677702470526,0.960038390235801,0.996436846221695,0.998921196067007,0,0.99647299957638,0.984613628655988,0.997210351808766,0.996373739325299,0.292953097304828,1,0.984261559336956,0.991542284619184,0.995951246930822,0.995856779867956,0.99644733621686,1,0.999826387384421,1,0.998995288029172,0.999235928747337,0.996637847524858,0.999671925171452,0.999831733397797,0.958059110603779,0.999978387435046,0.989616715421168,0.996420950364999,0.932381906623289,0.999166236220171,0.986285416620396,0.999965058618361,0.99639364413053
FR,0.935749705000999,0.937786772072529,0.544626538593375,0.999964327668054,0.935577688062845,0.944650307361187,0.555523953250145,0.981417174382953,0.99647299957638,0,0.939726167257241,0.989646740802023,0.943050282464726,0.998984730794283,1,0.943127224565857,0.943115630178439,0.959822686483333,0.956085458269912,0.62327817292845,1,0.99861141888679,1,0.960589644498908,0.963917877554169,0.560392527385752,0.998533079126725,0.996149139927264,0.943432843760669,0.997141146303912,0.94815549433865,0.538754224378607,0.941566665842361,1,0.885618650036076,1,0.986125589297498
